ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779576593,2636,270,603,30093038,12115.70
1779576598,2641,270,603,30154637,12165.26
1779576603,2646,270,603,30207854,11797.27
1779576608,2651,270,603,30271690,12444.27
1779576614,2657,270,603,30340099,12779.42
1779576619,2662,270,603,30410828,13684.21
1779576624,2667,270,603,30479063,13382.66
1779576629,2672,270,603,30543201,12928.75
1779576634,2677,270,603,30589593,1873.27
1779576639,2682,270,603,30629159,10443.38
1779576644,2687,270,603,30692926,12476.93
1779576649,2692,270,603,30760257,12947.51
1779576654,2697,270,603,30812965,11760.57
1779576660,2703,270,603,30831356,5867.48
1779576665,2708,270,603,30867126,8870.28
1779576670,2713,270,603,30923326,10238.78
1779576675,2718,270,603,30977560,10942.22
1779576680,2723,270,603,31008493,7184.89
1779576685,2728,270,603,31059888,9321.07
1779576690,2733,270,603,31112926,10372.70
1779576695,2738,270,603,31163950,10280.45
1779576701,2744,270,603,31221432,11174.57
1779576706,2749,270,603,31287222,12858.96
1779576711,2754,270,603,31309202,1507.07
1779576716,2759,270,603,31312458,788.03
1779576721,2764,270,603,31315609,619.29
1779576726,2769,270,603,31318670,626.88
1779576731,2774,270,603,31322093,680.53
1779576736,2779,270,603,31325908,727.32
1779576742,2785,270,603,31372432,10167.70
1779576747,2790,270,603,31428055,10801.02
1779576752,2795,270,603,31485007,11208.50
1779576757,2800,270,603,31539579,11407.68
1779576762,2805,270,604,31598643,11232.16
1779576767,2810,270,607,31661159,11964.75
1779576772,2815,270,608,31718899,11463.43
1779576777,2820,270,608,31782636,12137.05
1779576782,2825,270,608,31841950,15375.55
1779576788,2831,270,608,31904568,13073.05
1779576793,2836,270,608,31970433,12945.03
1779576798,2841,270,608,32036106,13142.12
1779576803,2846,270,608,32103970,13314.86
1779576808,2851,270,608,32166195,12271.91
1779576813,2856,270,608,32228877,12568.02
1779576818,2861,270,608,32290369,12037.65
1779576823,2866,270,609,32355394,12283.12
1779576828,2871,270,609,32416736,11948.43
1779576833,2876,270,609,32478568,12057.44
1779576838,2881,270,609,32542046,12456.55
1779576843,2886,270,609,32597732,12074.31
1779576849,2892,270,609,32662924,12817.95
1779576854,2897,270,609,32725209,12441.40
1779576859,2902,270,609,32796053,13547.04
1779576864,2907,270,609,32857515,12274.06
1779576869,2912,270,609,32918358,11919.31
1779576874,2917,270,609,32979757,12051.35
1779576879,2922,270,609,33039138,11898.20
1779576884,2927,270,609,33104617,12810.93
1779576889,2932,270,609,33163798,11878.77
1779576894,2937,270,609,33225668,12472.90
1779576900,2943,270,609,33293170,13034.20
1779576905,2948,270,609,33363707,13311.44
1779576910,2953,270,609,33428078,12871.63
1779576915,2958,270,609,33494790,13312.48
1779576920,2963,270,609,33561014,13178.97
1779576925,2968,270,609,33624660,12429.72
1779576930,2973,270,609,33689855,12960.47
1779576935,2978,270,609,33758599,13539.15
1779576940,2983,270,609,33822595,12560.77
1779576945,2988,270,609,33886575,12398.66
1779576951,2994,270,609,33961098,14264.43
1779576956,2999,270,609,34033809,14083.55
1779576961,3004,270,609,34097674,12757.81
1779576966,3009,270,609,34162411,12858.94
1779576971,3014,270,609,34224053,12201.62
1779576976,3019,270,609,34285801,12416.44
1779576981,3024,270,609,34353728,13131.44
1779576986,3029,270,609,34418557,12803.53
1779576991,3034,270,609,34484219,13215.98
1779576996,3039,270,609,34547676,12419.63
1779577001,3044,270,609,34609623,12184.46
1779577007,3050,270,609,34675896,13061.06
1779577012,3055,270,609,34746509,13986.71
1779577017,3060,270,609,34809699,12560.42
1779577022,3065,270,609,34874556,13077.31
1779577027,3070,270,609,34942172,12783.54
1779577032,3075,270,609,35008953,12980.40
1779577037,3080,270,609,35075395,12949.31
1779577042,3085,270,609,35138082,12434.37
1779577047,3090,270,609,35200783,12055.19
1779577053,3096,270,609,35263466,12313.24
1779577058,3101,270,609,35331172,13098.27
1779577063,3106,270,609,35393506,12660.99
1779577068,3111,270,609,35459100,12996.36
1779577073,3116,270,609,35518799,633.93
1779577078,3121,270,609,35559921,8572.07
1779577083,3126,270,609,35621234,13203.65
1779577088,3131,270,609,35677174,11996.19
1779577094,3137,270,609,35739652,12033.86
1779577099,3142,270,609,35798435,11757.23
1779577104,3147,270,609,35813863,1669.88
1779577109,3152,270,609,35821519,1552.14
1779577114,3157,270,609,35845626,14310.12
1779577119,3162,270,609,35917763,13537.85
1779577124,3167,270,609,35983828,12515.76
1779577129,3172,270,609,36036288,9455.94
1779577134,3177,270,609,36096431,11492.57
1779577140,3183,270,609,36161948,13063.66
1779577145,3188,270,609,36218656,13183.55
1779577150,3193,270,609,36247401,11477.49
1779577155,3198,270,609,36302872,10940.82
1779577160,3203,270,609,36365233,12031.64
1779577165,3208,270,609,36424804,13579.22
1779577170,3213,270,609,36490509,12706.91
1779577175,3218,270,609,36547341,11837.57
1779577180,3223,270,609,36613341,12795.52
1779577185,3228,270,609,36675815,12403.64
1779577190,3233,270,609,36731193,11053.15
1779577196,3239,270,609,36793365,11798.08
1779577201,3244,270,609,36855168,11747.89
